pid,bl,tr,trial,condition,acc,drt
1,64,8,1372,blank,1,9
1,64,9,1373,blank,1,9
1,64,10,1374,blank,1,9
1,64,11,1375,blank,1,8
1,64,12,1376,blank,1,9
1,64,13,1377,blank,1,10
1,64,14,1378,blank,1,9
1,64,15,1379,blank,1,11
1,64,16,1380,blank,1,7
1,64,17,1381,blank,1,13
1,64,18,1382,blank,1,10
1,64,19,1383,blank,1,9
1,64,20,1384,blank,1,10
1,64,21,1385,blank,1,9
1,64,22,1386,blank,1,10
1,65,2,1388,congruent,1,7
1,65,3,1389,congruent,1,6
1,65,5,1391,incongruent,1,10
1,65,22,1408,incongruent,1,11
1,66,9,1417,incongruent,1,13
1,66,14,1422,incongruent,1,11
1,66,22,1430,congruent,1,9
1,67,6,1436,congruent,1,11
1,67,18,1448,congruent,1,9
1,67,19,1449,incongruent,1,11
1,67,21,1451,incongruent,1,10
1,68,2,1454,incongruent,1,9
1,68,3,1455,congruent,1,7
1,68,18,1470,incongruent,1,12
1,68,21,1473,congruent,1,8
1,69,8,1482,congruent,1,8
1,69,13,1487,incongruent,1,10
1,69,17,1491,incongruent,1,12
1,69,20,1494,congruent,1,8
1,70,9,1505,incongruent,1,10
1,70,10,1506,congruent,1,9
1,70,20,1516,incongruent,1,9
1,71,1,1519,blank,1,8
1,71,2,1520,blank,1,10
1,71,3,1521,blank,1,10
1,71,4,1522,blank,1,9
1,71,5,1523,blank,1,10
1,71,6,1524,blank,1,9
1,71,7,1525,blank,1,9
1,71,8,1526,blank,0,9
1,71,9,1527,blank,1,9
1,71,10,1528,blank,1,10
1,71,11,1529,blank,1,9
1,71,12,1530,blank,1,10
1,71,13,1531,blank,1,8
1,71,14,1532,blank,1,11
1,71,15,1533,blank,1,8
1,71,16,1534,blank,1,10
1,71,17,1535,blank,1,10
1,71,18,1536,blank,1,10
1,71,19,1537,blank,1,10
1,71,20,1538,blank,1,9
1,71,21,1539,blank,1,10
1,71,22,1540,blank,1,9
2,2,9,9,incongruent,1,11
2,2,11,11,congruent,1,13
2,2,15,15,congruent,1,13
2,2,18,18,incongruent,1,14
2,3,4,26,incongruent,1,12
2,3,9,31,congruent,1,13
2,3,17,39,incongruent,1,14
2,4,6,50,incongruent,1,12
2,4,12,56,congruent,1,11
2,4,13,57,congruent,1,10
2,4,21,65,incongruent,1,12
2,5,6,72,incongruent,1,11
2,5,11,77,congruent,1,11
2,5,12,78,incongruent,1,10
2,5,22,88,congruent,1,12
2,6,3,91,congruent,1,6
2,6,9,97,incongruent,1,9
2,6,19,107,incongruent,1,9
2,6,21,109,congruent,1,11
2,7,3,113,incongruent,1,11
2,7,6,116,incongruent,0,6
2,7,14,124,congruent,1,14
2,7,20,130,congruent,1,8
2,8,1,133,blank,1,10
2,8,2,134,blank,1,9
2,8,3,135,blank,1,10
2,8,4,136,blank,1,8
2,8,5,137,blank,1,12
2,8,6,138,blank,1,9
2,8,7,139,blank,1,8
2,8,8,140,blank,1,10
2,8,9,141,blank,1,10
2,8,10,142,blank,1,8
2,8,11,143,blank,1,10
2,8,12,144,blank,1,8
2,8,13,145,blank,1,12
2,8,14,146,blank,1,8
2,8,15,147,blank,1,8
2,8,16,148,blank,0,6
2,8,17,149,blank,1,10
2,8,18,150,blank,1,9
2,8,19,151,blank,1,10
2,8,20,152,blank,1,10
2,8,21,153,blank,1,10
2,8,22,154,blank,1,10
2,9,3,157,incongruent,1,12
2,9,6,160,incongruent,1,12
2,9,14,168,congruent,1,13
2,9,20,174,congruent,1,6
2,10,12,188,incongruent,1,12
