vp,bl,tr,prime_type,resp,respac,rt,TrialNr
1,47,13,1,1,1,324,1003
1,47,21,2,1,0,269,1011
1,48,2,1,1,1,281,1014
1,48,8,1,2,1,232,1020
1,48,15,2,2,1,395,1027
1,48,16,2,1,1,377,1028
1,49,2,1,1,1,218,1036
1,49,6,1,2,1,247,1040
1,49,7,2,2,0,240,1041
1,49,11,2,2,1,480,1045
1,50,1,0,1,1,374,1057
1,50,2,0,1,1,364,1058
1,50,3,0,1,0,337,1059
1,50,4,0,1,1,358,1060
1,50,5,0,2,1,297,1061
1,50,6,0,2,1,381,1062
1,50,7,0,2,1,384,1063
1,50,8,0,2,1,394,1064
1,50,9,0,1,1,384,1065
1,50,10,0,1,1,443,1066
1,50,11,0,1,1,392,1067
1,50,12,0,2,1,366,1068
1,50,13,0,2,1,356,1069
1,50,14,0,1,1,321,1070
1,50,15,0,1,1,366,1071
1,50,16,0,1,1,415,1072
1,50,17,0,2,1,408,1073
1,50,18,0,2,1,383,1074
1,50,19,0,1,1,299,1075
1,50,20,0,2,1,320,1076
1,50,21,0,2,1,342,1077
1,50,22,0,1,1,294,1078
1,51,6,2,2,1,400,1084
1,51,9,1,2,1,344,1087
1,51,11,2,1,1,368,1089
1,51,13,1,1,1,401,1091
1,52,1,1,2,1,383,1101
1,52,4,2,2,1,397,1104
1,52,5,1,1,1,322,1105
1,52,10,2,1,1,418,1110
1,53,5,1,2,1,269,1127
1,53,8,2,1,1,400,1130
1,53,13,1,1,1,224,1135
1,53,14,2,1,0,274,1136
1,54,12,1,1,1,280,1156
1,54,14,2,1,1,351,1158
1,54,15,2,2,1,432,1159
1,54,16,1,2,1,461,1160
1,55,11,2,1,1,424,1177
1,55,16,1,2,1,489,1182
1,55,17,2,1,0,263,1183
1,55,22,1,1,1,352,1188
1,56,2,2,2,1,416,1190
1,56,4,2,1,1,379,1192
1,56,12,1,2,1,334,1200
1,56,19,1,1,1,280,1207
1,57,1,0,1,1,413,1211
1,57,2,0,2,1,304,1212
1,57,3,0,1,1,374,1213
1,57,4,0,1,1,332,1214
1,57,5,0,1,1,373,1215
1,57,6,0,1,1,354,1216
1,57,7,0,2,1,395,1217
1,57,8,0,2,1,385,1218
1,57,9,0,2,1,380,1219
1,57,10,0,2,1,365,1220
1,57,11,0,1,1,293,1221
1,57,12,0,2,1,394,1222
1,57,13,0,2,1,372,1223
1,57,14,0,1,1,356,1224
1,57,15,0,1,1,373,1225
1,57,16,0,1,0,307,1226
1,57,17,0,1,1,406,1227
1,57,18,0,2,1,347,1228
1,57,19,0,1,1,265,1229
1,57,20,0,2,1,422,1230
1,57,21,0,1,1,323,1231
1,57,22,0,2,1,328,1232
1,58,4,1,1,1,240,1236
1,58,12,2,2,1,392,1244
1,58,13,1,2,1,333,1245
1,58,17,2,1,1,474,1249
1,59,6,2,1,0,268,1260
1,59,7,1,2,1,399,1261
1,59,8,1,1,1,300,1262
1,59,22,2,1,1,400,1276
1,60,4,1,2,1,384,1280
1,60,6,1,1,1,313,1282
1,60,8,2,2,1,404,1284
1,60,19,2,1,1,444,1295
1,61,1,2,1,1,362,1299
1,61,5,2,2,1,532,1303
1,61,7,1,2,1,513,1305
1,61,12,1,1,1,285,1310
1,62,3,2,2,0,219,1323
1,62,8,1,2,1,328,1328
1,62,9,2,2,1,445,1329
1,62,18,1,1,1,413,1338
1,63,4,2,2,1,448,1346
1,63,17,2,1,1,456,1359
1,63,20,1,2,1,429,1362
1,63,22,1,1,1,263,1364
1,64,1,0,1,1,390,1365
1,64,2,0,2,1,349,1366
1,64,3,0,2,1,363,1367
1,64,4,0,2,1,362,1368
1,64,5,0,1,1,352,1369
1,64,6,0,2,1,289,1370
1,64,7,0,1,1,295,1371
1,64,8,0,1,1,340,1372
1,64,9,0,1,1,337,1373
1,64,10,0,1,1,337,1374
1,64,11,0,1,1,316,1375
1,64,12,0,2,1,355,1376
1,64,13,0,2,1,362,1377
1,64,14,0,2,1,357,1378
1,64,15,0,2,1,425,1379
1,64,16,0,1,1,270,1380
1,64,17,0,1,1,499,1381
1,64,18,0,2,1,387,1382
1,64,19,0,1,1,358,1383
1,64,20,0,1,1,387,1384
1,64,21,0,2,1,336,1385
1,64,22,0,2,1,372,1386
1,65,2,1,1,1,274,1388
1,65,3,1,2,1,240,1389
1,65,5,2,2,1,388,1391
1,65,22,2,1,1,416,1408
1,66,9,2,2,1,496,1417
1,66,14,2,1,1,418,1422
