bin_endpoint,condition,mean,.lower,.upper,.width,hazard ratio
600,c1500,-1.8794538919794541,-10.072798815866152,5.984508569875085,0.95,0.15267345919541275
240,i500,2.3129917334888823,0.7925546068205755,3.9268477710678136,0.95,10.104609779044177
280,i500,0.5450404608035556,-0.4604266487676032,1.5185924112766365,0.95,1.7246781628290822
320,i500,-0.5407200299415591,-1.1258023785307607,0.07939007491645467,0.95,0.5823288072085496
360,i500,-1.0817103817382119,-1.4989081824985555,-0.6114417303106479,0.95,0.3390151841037624
400,i500,-1.2153512375781528,-1.779459929922029,-0.6496673018067516,0.95,0.2966058168873046
440,i500,-1.079063240453132,-2.028047756541194,-0.19343513644263627,0.95,0.339913794042867
480,i500,-0.810267033354899,-2.164345561215921,0.5892853282196716,0.95,0.44473929014035746
520,i500,-0.5463832592752044,-2.5010081689643786,1.4190093057098276,0.95,0.5790402662956357
560,i500,-0.4248325612057978,-3.1587708047134235,2.282355853389743,0.95,0.6538792607193298
600,i500,-0.5830355821384293,-4.353418730187752,3.0962745856644345,0.95,0.5582013261404727
240,i1000,3.121687692052875,1.6626875751811043,4.5751759998510675,0.95,22.68463202816912
280,i1000,1.059099411719,0.1504728129836657,1.9546816141648247,0.95,2.88377272753805
320,i1000,-0.242201315713875,-0.7803769877308263,0.3074940078669874,0.95,0.7848981493143311
360,i1000,-0.9196351332375,-1.2958799990956822,-0.5157299984852679,0.95,0.39866447396702837
400,i1000,-1.110622683843625,-1.6111789996088355,-0.5870525945287235,0.95,0.32935381391214624
440,i1000,-0.952584610524,-1.7985540121730867,-0.12307041126217572,0.95,0.3857427391789695
480,i1000,-0.582941556270375,-1.86195246957177,0.70106926213874865,0.95,0.5582538139722805
520,i1000,-0.1391141640745,-1.9038901888032336,1.765882818448006,0.95,0.8701286853515935
560,i1000,0.24147692307187502,-2.334090465528726,2.754699846268051,0.95,1.273128074693452
600,i1000,0.42141106217700003,-3.172820568584487,3.8491036975254924,0.95,1.5241106539036793
240,i1500,3.298547727014831,1.6256410329227449,4.978786649271884,0.95,27.073292545351183
280,i1500,1.077800973803867,0.04610718694923752,2.1396395908613575,0.95,2.938211238194814
320,i1500,-0.3306248003959853,-0.9412305112301564,0.36103167162519695,0.95,0.7184746898944926
360,i1500,-1.0641502385764756,-1.5230142513767964,-0.5691652512254185,0.95,0.34502091569811777
400,i1500,-1.2601959837293542,-1.882749257593655,-0.6511454017730858,0.95,0.28359844037297677
440,i1500,-1.0561826788463706,-1.9947540310985041,-0.08571057084043146,0.95,0.347780870905452
480,i1500,-0.5895309669192753,-2.0085419437066263,0.8847795376863834,0.95,0.5545873435519224
520,i1500,0.0023385090601818767,-2.0451847369325975,2.0876920344971617,0.95,1.0023412455051455
560,i1500,0.5820051061002509,-2.2331734556956766,3.5385609568534417,0.95,1.789623220043254
600,i1500,1.012048181209182,-3.0225676489974886,4.8639487839612885,0.95,2.7512302663192405
